start,end,id,length,diameter,disuse,q_max,flowdir,has_booster,booster_hmax
228,229,339,6889.842427,300,0,254.34,0,0,0
229,230,340,3276.821413,300,0,254.34,0,0,0
229,231,341,4460.42969,300,0,254.34,0,0,0
229,232,342,4884.371564,400,0,452.16,0,0,0
230,233,343,2005.075182,400,0,452.16,0,0,0
231,233,344,5010.23386,400,0,452.16,0,0,0
231,240,345,3760.644694,400,0,452.16,0,0,0
231,248,346,5637.976963,300,0,254.34,0,0,0
232,249,347,9636.883141,400,0,452.16,0,0,0
233,235,348,5933.3959,300,0,254.34,0,0,0
233,240,349,2847.130486,500,0,706.5,0,0,0
234,235,350,9189.7774,250,0,176.625,0,0,0
234,236,351,3321.2887,400,0,452.16,0,0,0
234,237,352,8732.222244,400,0,452.16,0,0,0
234,240,353,17611.21298,400,0,452.16,0,0,0
235,237,354,4145.39679,300,0,254.34,0,0,0
237,238,355,7225.361133,250,0,176.625,0,0,0
237,239,356,7529.003694,250,0,176.625,0,0,0
238,239,357,3625.00478,300,0,254.34,0,0,0
238,242,358,4719.860457,300,0,254.34,0,0,0
239,241,359,6143.814664,250,0,176.625,0,0,0
240,241,360,7079.137372,300,0,254.34,0,0,0
240,250,361,6853.242723,400,0,452.16,0,0,0
241,246,362,5930.195872,250,0,176.625,0,0,0
242,243,363,7020.510604,400,0,452.16,0,0,0
242,243,364,7020.510604,300,0,254.34,0,0,0
243,244,365,5923.535652,300,0,254.34,0,0,0
243,244,366,5923.535652,250,0,176.625,0,0,0
243,246,367,10271.39299,400,0,452.16,0,0,0
244,245,368,5519.337894,250,0,176.625,0,0,0
245,246,369,9130.893216,300,0,254.34,0,0,0
246,247,370,2707.787935,300,0,254.34,0,0,0
246,254,371,7768.529443,300,0,254.34,0,0,0
246,255,372,8010.677054,300,0,254.34,0,0,0
247,254,373,6138.170487,300,0,254.34,0,0,0
248,250,374,4586.16821,400,0,452.16,0,0,0
249,251,375,3114.157718,300,0,254.34,0,0,0
249,252,376,2219.848584,400,0,452.16,0,0,0
250,251,377,2021.551931,450,0,572.265,0,0,0
250,251,378,2021.551931,300,0,254.34,0,0,0
250,252,379,3603.678211,400,0,452.16,0,0,0
251,252,380,1650.488279,300,0,254.34,0,0,0
251,253,381,2855.802916,300,0,254.34,0,0,0
253,254,382,4076.771381,300,0,254.34,0,0,0
256,257,383,3021.613034,400,0,452.16,0,0,0
256,258,384,7453.322571,250,0,176.625,0,0,0
256,258,385,7453.322571,250,0,176.625,0,0,0
256,289,386,4199.501206,300,0,254.34,0,0,0
258,259,387,1645.804252,300,0,254.34,0,0,0
258,298,388,9096.56772,300,0,254.34,0,0,0
258,300,389,9153.433194,400,0,452.16,0,0,0
259,260,390,3615.508221,500,0,706.5,0,0,0
259,262,391,4420.998078,500,0,706.5,0,0,0
260,261,392,3055.26382,300,0,254.34,0,0,0
260,262,393,2205.050232,600,0,1017.36,0,0,0
262,265,394,6388.513562,700,0,1384.74,0,0,0
263,265,395,3887.022642,400,0,452.16,0,0,0
