id,label,lat,lon,name,type,weight,discharge,elevation,max_supply_head,disuse,use_pump,ind_ratio
85,FRL039,52.99628685,6.218388619,FRL039,demand,1,0.147216552,0,0,0,0,0.3
86,FRL040,52.95588812,6.304896153,FRL040,demand,1,1.080695073,0,0,0,0,0.3
87,FRL041,53.03099468,6.278112429,FRL041,demand,1,0.589472638,0,0,0,0,0.3
88,GEN001,52.44176202,5.865315184,GEN001,demand,1,0.002359672,0,0,0,0,0.3
89,GEN002,52.46093107,5.995209867,GEN002,demand,1,0.064219101,0,0,0,0,0.3
90,GEN003,52.38286222,5.804445648,GEN003,demand,1,1.356619849,0,0,0,0,0.3
91,GEN004,52.40050541,5.866148667,GEN004,demand,1,0.020432421,0,0,0,0,0.3
92,GEN005,52.37788727,5.9768885,GEN005,demand,1,0.025899146,0,0,0,0,0.3
93,GEN006,52.3858795,6.038277221,GEN006,demand,1,0.076560769,0,0,0,0,0.3
94,GEN007,52.4468169,6.052779221,GEN007,demand,1,0.027109315,0,0,0,0,0.3
95,GEN008,52.33656234,5.990939122,GEN008,demand,1,0.009631658,0,0,0,0,0.3
96,GEN009,52.28741574,5.969562502,GEN009,demand,1,15.61875598,0,0,0,0,0.3
97,GEN010,52.2928888,6.003392048,GEN010,demand,1,0.093216593,0,0,0,0,0.3
98,GEN011,52.24322499,6.10467143,GEN011,demand,1,1.054831015,0,0,0,0,0.3
99,GEN012,52.23010546,5.947852459,GEN012,demand,1,0.368766048,0,0,0,0,0.3
100,GEN013,52.19630941,5.963004776,GEN013,demand,1,0,0,0,0,0,0.3
101,GEN014,52.20381541,5.998591419,GEN014,demand,1,0,0,0,0,0,0.3
102,GEN015,52.19762278,6.042153271,GEN015,demand,1,0.066936006,0,0,0,0,0.3
103,GEN016,52.17003755,6.143036397,GEN016,demand,1,0.211062706,0,0,0,0,0.3
104,GEN017,52.14189862,5.991111584,GEN017,demand,1,0.181122519,0,0,0,0,0.3
105,GEN018,52.1055432,6.0413152,GEN018,demand,1,1.348024213,0,0,0,0,0.3
106,GEN019,52.0898769,6.143461909,GEN019,demand,1,0.461287191,0,0,0,0,0.3
107,GEN020,52.12898798,6.206324944,GEN020,demand,1,3.09523297,0,0,0,0,0.3
108,GEN021,52.12568433,6.251112215,GEN021,demand,1,8.00E-04,0,0,0,0,0.3
109,GEN022,52.14287331,6.282051243,GEN022,demand,1,0.001665341,0,0,0,0,0.3
110,GEN023,52.12023767,5.885104195,GEN023,demand,1,0.255144951,0,0,0,0,0.3
111,GEN024,52.10402791,5.778912382,GEN024,demand,1,0.003575038,0,0,0,0,0.3
112,GEN025,52.05617119,5.681300994,GEN025,demand,1,0.260894182,0,0,0,0,0.3
113,GEN026,52.03374725,5.646149462,GEN026,demand,1,0.030102956,0,0,0,0,0.3
114,GEN027,52.00974312,5.675694977,GEN027,demand,1,0.020675696,0,0,0,0,0.3
115,GEN028,51.97283602,5.683505955,GEN028,demand,1,0.033172252,0,0,0,0,0.3
116,GEN029,51.97825593,5.83204727,GEN029,demand,1,0.946069821,0,0,0,0,0.3
117,GEO001,52.20470582,6.228050744,GEO001,demand,1,0.012345419,0,0,0,0,0.3
118,GEO002,52.19769446,6.352689831,GEO002,demand,1,0.18106157,0,0,0,0,0.3
119,GEO003,52.1661742,6.29695998,GEO003,demand,1,0.131036356,0,0,0,0,0.3
120,GEO004,52.123361,6.347009116,GEO004,demand,1,0.396220177,0,0,0,0,0.3
121,GEO005,52.15184912,6.412836976,GEO005,demand,1,0.80559037,0,0,0,0,0.3
122,GEO006,52.16683921,6.553495856,GEO006,demand,1,0,0,0,0,0,0.3
123,GEO007,52.12210231,6.490892975,GEO007,demand,1,1.80918079,0,0,0,0,0.3
124,GEO008,52.08100243,6.462071274,GEO008,demand,1,0.584052916,0,0,0,0,0.3
125,GEO009,52.14385275,6.595688949,GEO009,demand,1,0.795366204,0,0,0,0,0.3
126,GEO010,52.09192416,6.606149873,GEO010,demand,1,0.709295802,0,0,0,0,0.3
127,GEO011,52.16137321,6.751417184,GEO011,demand,1,1.314892492,0,0,0,0,0.3
128,GEO012,52.04767492,6.353856716,GEO012,demand,1,1.124738913,0,0,0,0,0.3
129,GEO013,52.02575037,6.60063349,GEO013,demand,1,1.711542225,0,0,0,0,0.3
130,GEO014,51.97799549,6.52929743,GEO014,demand,1,0.122419642,0,0,0,0,0.3
131,GEO015,51.93674855,6.326790915,GEO015,demand,1,0.086962839,0,0,0,0,0.3
132,GEO016,51.96380288,6.286774096,GEO016,demand,1,0.144033101,0,0,0,0,0.3
133,GEO017,51.93753045,6.279485782,GEO017,demand,1,0,0,0,0,0,0.3
134,GEO018,51.93452463,6.530228137,GEO018,demand,1,4.169306065,0,0,0,0,0.3
135,GEO019,51.95939016,6.652952095,GEO019,demand,1,0.358341495,0,0,0,0,0.3
136,GEO020,51.97116041,6.739882113,GEO020,demand,1,1.648775107,0,0,0,0,0.3
137,GEO021,51.882745,6.505280002,GEO021,demand,1,0.484119128,0,0,0,0,0.3
138,GEO022,51.89251215,6.39542747,GEO022,demand,1,0.176833872,0,0,0,0,0.3
139,GEO023,51.89884239,6.25676346,GEO023,demand,1,0.59237477,0,0,0,0,0.3
140,GEO024,52.03783689,6.090755291,GEO024,demand,1,1.053651053,0,0,0,0,0.3
141,GEO025,51.99304685,6.104263619,GEO025,demand,1,0.878155486,0,0,0,0,0.3
142,GEO026,51.94700001,6.084605117,GEO026,demand,1,7.765033762,0,0,0,0,0.3
143,GEO027,51.91915963,6.092618839,GEO027,demand,1,0.24334809,0,0,0,0,0.3
144,GEO028,51.94698958,6.01123878,GEO028,demand,1,0.00425629,0,0,0,0,0.3
145,GEO029,51.96605351,5.9600938,GEO029,demand,1,0.001107421,0,0,0,0,0.3
146,GEO030,52.00166409,5.98390736,GEO030,demand,1,0.573065762,0,0,0,0,0.3
147,GEO031,51.99376001,5.932695591,GEO031,demand,1,7.335648456,0,0,0,0,0.3
148,GEO032,51.85909788,6.108880519,GEO032,demand,1,0.444550357,0,0,0,0,0.3
149,GEO033,51.98657365,5.905879897,GEO033,demand,1,0.00841267,0,0,0,0,0.3
150,GEO034,52.00939643,5.842493443,GEO034,demand,1,0.350050873,0,0,0,0,0.3
151,GEZ001,51.94366424,5.285323641,GEZ001,demand,1,1.88753751,0,0,0,0,0.3
152,GEZ002,51.87674282,5.092142537,GEZ002,demand,1,0.21483283,0,0,0,0,0.3
153,GEZ003,51.87889387,5.197956461,GEZ003,demand,1,0.564724645,0,0,0,0,0.3
154,GEZ004,51.87982474,5.280109833,GEZ004,demand,1,1.351193714,0,0,0,0,0.3
155,GEZ005,51.91358852,5.37611342,GEZ005,demand,1,0.188690237,0,0,0,0,0.3
156,GEZ006,51.89700515,5.398898591,GEZ006,demand,1,2.628284839,0,0,0,0,0.3
157,GEZ007,51.90141462,5.443579674,GEZ007,demand,1,0.049493391,0,0,0,0,0.3
158,GEZ008,51.92242767,5.424824197,GEZ008,demand,1,0.096758562,0,0,0,0,0.3
159,GEZ009,51.86743403,5.392197887,GEZ009,demand,1,0.193657456,0,0,0,0,0.3
160,GEZ010,51.84412829,5.236021756,GEZ010,demand,1,0.620313609,0,0,0,0,0.3
161,GEZ011,51.83095697,5.130800502,GEZ011,demand,1,0.184027689,0,0,0,0,0.3
162,GEZ012,51.80245374,5.114478379,GEZ012,demand,1,0.624690518,0,0,0,0,0.3
163,GEZ013,51.80047182,5.243301364,GEZ013,demand,1,1.246058758,0,0,0,0,0.3
164,GEZ014,51.78891644,5.302168812,GEZ014,demand,1,1.845409965,0,0,0,0,0.3
165,GEZ015,51.84586938,5.437705801,GEZ015,demand,1,0.144223886,0,0,0,0,0.3
166,GEZ016,51.92339399,5.572333901,GEZ016,demand,1,2.615265896,0,0,0,0,0.3
167,GEZ017,51.87413124,5.6123121,GEZ017,demand,1,0.488134192,0,0,0,0,0.3
168,GEZ018,51.93745302,5.71590469,GEZ018,demand,1,0.948158906,0,0,0,0,0.3
169,GEZ019,51.94325001,5.804038506,GEZ019,demand,1,0.134033198,0,0,0,0,0.3
170,GEZ021,51.9557906,5.851566296,GEZ021,demand,1,0.001593633,0,0,0,0,0.3
171,GEZ022,51.94103871,5.876457124,GEZ022,demand,1,9.311365313,0,0,0,0,0.3
172,GEZ023,51.95658586,5.924489936,GEZ023,demand,1,0.022566525,0,0,0,0,0.3
173,GEZ024,51.91019462,5.914997849,GEZ024,demand,1,0,0,0,0,0,0.3
174,GEZ025,51.86680775,5.771185874,GEZ025,demand,1,0.038298089,0,0,0,0,0.3
175,GEZ026,51.83878219,5.805306924,GEZ026,demand,1,15.89840012,0,0,0,0,0.3
176,GEZ027,51.81773271,5.73598946,GEZ027,demand,1,2.605041651,0,0,0,0,0.3
177,GEZ028,51.81039446,5.858102723,GEZ028,demand,1,0.021046063,0,0,0,0,0.3
178,GEZ029,51.86668571,5.878770941,GEZ029,demand,1,0.047819769,0,0,0,0,0.3
179,GEZ030,51.87931191,5.958844487,GEZ030,demand,1,0.176020263,0,0,0,0,0.3
180,GEZ031,51.83013028,5.897551063,GEZ031,demand,1,0.067465077,0,0,0,0,0.3
181,GEZ032,51.8599207,6.022429759,GEZ032,demand,1,0.441287409,0,0,0,0,0.3
182,GEZ033,51.76196941,5.935529495,GEZ033,demand,1,0.886108553,0,0,0,0,0.3
183,OVN000,52.77245306,5.691068144,OVN000,demand,1,0.656630696,0,0,0,0,0.3
184,OVN001,52.81058353,5.921481589,OVN001,demand,1,0.333065231,0,0,0,0,0.3
185,OVN002,52.80097097,6.087527565,OVN002,demand,1,1.750849104,0,0,0,0,0.3
186,OVN003,52.7738145,6.179060697,OVN003,demand,1,0.736456552,0,0,0,0,0.3
187,OVN004,52.69220961,6.187263564,OVN004,demand,1,2.208345777,0,0,0,0,0.3
188,OVN005,52.69903511,6.21557023,OVN005,demand,1,0,0,0,0,0,0.3
189,OVN006,52.71243927,5.757584009,OVN006,demand,1,1.403284369,0,0,0,0,0.3
190,OVN007,52.71398821,5.871900402,OVN007,demand,1,0.481386333,0,0,0,0,0.3
191,OVN008,52.6394185,5.828975144,OVN008,demand,1,0.180938214,0,0,0,0,0.3
192,OVN009,52.68037719,5.941769264,OVN009,demand,1,0.52870801,0,0,0,0,0.3
193,OVN010,52.67788505,6.019810411,OVN010,demand,1,0.275430091,0,0,0,0,0.3
194,OVN011,52.63806806,6.083191261,OVN011,demand,1,1.212658323,0,0,0,0,0.3
195,OVN012,52.57372623,5.941578627,OVN012,demand,1,1.021560351,0,0,0,0,0.3
196,OVN013,52.5567887,5.900755972,OVN013,demand,1,2.46106757,0,0,0,0,0.3
197,OVN014,52.51573178,6.075267257,OVN014,demand,1,8.414643223,0,0,0,0,0.3
198,OVN015,52.49825983,6.062757626,OVN015,demand,1,5.42E-04,0,0,0,0,0.3
199,OVN016,52.49535578,6.113162746,OVN016,demand,1,0.089855465,0,0,0,0,0.3
200,OVN017,52.53014894,6.130269699,OVN017,demand,1,0.136377302,0,0,0,0,0.3
201,OVN018,52.52239152,6.195104078,OVN018,demand,1,0.743280429,0,0,0,0,0.3
202,OVN019,52.64194501,6.200252666,OVN019,demand,1,1.003357368,0,0,0,0,0.3
203,OVN020,52.59655589,6.284267754,OVN020,demand,1,1.23614764,0,0,0,0,0.3
204,OVN021,52.5626938,6.401153162,OVN021,demand,1,0.940949272,0,0,0,0,0.3
205,OVN022,52.59753922,6.452552901,OVN022,demand,1,0.897084052,0,0,0,0,0.3
206,OVN023,52.47560272,6.420719741,OVN023,demand,1,0.229711176,0,0,0,0,0.3
207,OVN024,52.48009887,6.532999488,OVN024,demand,1,1.002647531,0,0,0,0,0.3
208,OVN025,52.57551382,6.606381941,OVN025,demand,1,2.996374791,0,0,0,0,0.3
209,OVN026,52.44332155,6.240653962,OVN026,demand,1,0.197782024,0,0,0,0,0.3
210,OVN027,52.36720752,6.168299614,OVN027,demand,1,0.658351126,0,0,0,0,0.3
211,OVN028,52.38404107,6.285092122,OVN028,demand,1,2.159902211,0,0,0,0,0.3
212,OVN030,52.30281169,6.14568852,OVN030,demand,1,0.453725362,0,0,0,0,0.3
213,OVN031,52.30540396,6.280350714,OVN031,demand,1,0.465256601,0,0,0,0,0.3
214,OVN032,52.26366845,6.21278699,OVN032,demand,1,0,0,0,0,0,0.3
215,OVN033,52.25289541,6.302583414,OVN033,demand,1,0.426653541,0,0,0,0,0.3
216,OVN034,52.24096718,6.175499076,OVN034,demand,1,0,0,0,0,0,0.3
217,OVN035,52.26179601,6.157279344,OVN035,demand,1,4.978176309,0,0,0,0,0.3
218,OVN036,52.6597542,5.633903986,OVN036,demand,1,2.412761033,0,0,0,0,0.3
219,OVZ002,52.38084025,6.472048478,OVZ002,demand,1,0.119929945,0,0,0,0,0.3
220,OVZ003,52.36237089,6.435963803,OVZ003,demand,1,0.00524029,0,0,0,0,0.3
221,OVZ004,52.35335832,6.468631692,OVZ004,demand,1,3.546542267,0,0,0,0,0.3
222,OVZ005,52.31064743,6.508976534,OVZ005,demand,1,0.003505915,0,0,0,0,0.3
223,OVZ006,52.29582842,6.457248559,OVZ006,demand,1,0.176348143,0,0,0,0,0.3
224,OVZ007,52.29781192,6.385635578,OVZ007,demand,1,0.59819248,0,0,0,0,0.3
225,OVZ008,52.29002314,6.578390598,OVZ008,demand,1,0.096302971,0,0,0,0,0.3
226,OVZ009,52.24360377,6.510698814,OVZ009,demand,1,0.473631689,0,0,0,0,0.3
227,OVZ010,52.2337401,6.569067302,OVZ010,demand,1,1.452271824,0,0,0,0,0.3
228,OVZ011,52.25129768,6.612049562,OVZ011,demand,1,0.334907313,0,0,0,0,0.3
229,OVZ012,52.26824522,6.709302808,OVZ012,demand,1,0.855845358,0,0,0,0,0.3
230,OVZ013,52.28854265,6.744147853,OVZ013,demand,1,0.018328393,0,0,0,0,0.3
231,OVZ014,52.25672253,6.772004355,OVZ014,demand,1,0,0,0,0,0,0.3
232,OVZ015,52.23795441,6.76115684,OVZ015,demand,1,0.225918362,0,0,0,0,0.3
233,OVZ016,52.30150178,6.764601847,OVZ016,demand,1,0.031586825,0,0,0,0,0.3
234,OVZ017,52.36147995,6.570515702,OVZ017,demand,1,0.028504777,0,0,0,0,0.3
235,OVZ018,52.33702737,6.699596529,OVZ018,demand,1,0.247040898,0,0,0,0,0.3
236,OVZ019,52.39120972,6.566402155,OVZ019,demand,1,1.008706175,0,0,0,0,0.3
237,OVZ020,52.37423911,6.697275608,OVZ020,demand,1,6.141276072,0,0,0,0,0.3
238,OVZ021,52.41163607,6.784208566,OVZ021,demand,1,0.026060413,0,0,0,0,0.3
239,OVZ022,52.38227408,6.807285742,OVZ022,demand,1,0.119043283,0,0,0,0,0.3
240,OVZ023,52.28640688,6.798359778,OVZ023,demand,1,0.002033011,0,0,0,0,0.3
241,OVZ024,52.33753691,6.860209451,OVZ024,demand,1,0.330249085,0,0,0,0,0.3
242,OVZ025,52.4531588,6.798275504,OVZ025,demand,1,0.141795802,0,0,0,0,0.3
243,OVZ026,52.40320383,6.86140732,OVZ026,demand,1,0.579190472,0,0,0,0,0.3
244,OVZ027,52.4098886,6.947941327,OVZ027,demand,1,0.194774622,0,0,0,0,0.3
245,OVZ028,52.39296471,7.0243244,OVZ028,demand,1,0.764707397,0,0,0,0,0.3
246,OVZ029,52.32654717,6.945510212,OVZ029,demand,1,0.114374022,0,0,0,0,0.3
247,OVZ030,52.30768374,6.92038724,OVZ030,demand,1,0,0,0,0,0,0.3
248,OVZ031,52.2834744,6.842280998,OVZ031,demand,1,7.755045196,0,0,0,0,0.3
249,OVZ033,52.20368911,6.890926706,OVZ033,demand,1,0.081057074,0,0,0,0,0.3
250,OVZ034,52.2483299,6.877408418,OVZ034,demand,1,0.228566134,0,0,0,0,0.3
251,OVZ035,52.23164175,6.889103535,OVZ035,demand,1,0,0,0,0,0,0.3
252,OVZ036,52.22124527,6.90636072,OVZ036,demand,1,8.89931118,0,0,0,0,0.3
253,OVZ037,52.22434646,6.929257209,OVZ037,demand,1,0,0,0,0,0,0.3
254,OVZ038,52.25706413,6.956128153,OVZ038,demand,1,0.080815094,0,0,0,0,0.3
255,OVZ039,52.26445097,7.004971277,OVZ039,demand,1,1.041244662,0,0,0,0,0.3
256,URM001,52.20316971,5.037610652,URM001,demand,1,0.066920838,0,0,0,0,0.3
257,URM002,52.18366932,5.006808781,URM002,demand,1,0,0,0,0,0,0.3
258,URM003,52.20048588,5.146767957,URM003,demand,1,0.636017704,0,0,0,0,0.3
259,URM004,52.21490426,5.152103941,URM004,demand,1,5.861482005,0,0,0,0,0.3
260,URM005,52.24579116,5.168501076,URM005,demand,1,0,0,0,0,0,0.3
261,URM006,52.26827313,5.142782447,URM006,demand,1,0.299092723,0,0,0,0,0.3
262,URM007,52.24159433,5.20011706,URM007,demand,1,0.135407785,0,0,0,0,0.3
263,URM008,52.25424672,5.267182544,URM008,demand,1,0.609448465,0,0,0,0,0.3
264,URM009,52.26168512,5.336723855,URM009,demand,1,0,0,0,0,0,0.3
265,URM010,52.22174819,5.288036755,URM010,demand,1,1.357693792,0,0,0,0,0.3
266,URM011,52.1772501,5.329905085,URM011,demand,1,0,0,0,0,0,0.3
267,URM012,52.1724199,5.284843191,URM012,demand,1,0.001973955,0,0,0,0,0.3
268,URM013,52.14379668,5.300219239,URM013,demand,1,0.277553104,0,0,0,0,0.3
269,URM014,52.23157788,5.39181063,URM014,demand,1,2.590090793,0,0,0,0,0.3
270,URM015,52.19462783,5.403229728,URM015,demand,1,13.42859635,0,0,0,0,0.3
271,URM016,52.16026453,5.416429036,URM016,demand,1,0.007147566,0,0,0,0,0.3
272,URM017,52.14475311,5.36747818,URM017,demand,1,0.072612907,0,0,0,0,0.3
273,URM018,52.13753532,5.43893814,URM018,demand,1,1.607554535,0,0,0,0,0.3
274,URM019,52.22677052,5.430917859,URM019,demand,1,0,0,0,0,0,0.3
275,URM020,52.22766812,5.479950694,URM020,demand,1,0.025264657,0,0,0,0,0.3
276,URM021,52.2092001,5.464579832,URM021,demand,1,0,0,0,0,0,0.3
277,URM022,52.17668133,5.478046923,URM022,demand,1,0.015492612,0,0,0,0,0.3
278,URM023,52.13625484,5.597153705,URM023,demand,1,0.019374038,0,0,0,0,0.3
279,URM024,52.17486954,5.595829303,URM024,demand,1,0.038540212,0,0,0,0,0.3
280,URM025,52.15422127,5.663022915,URM025,demand,1,6.72E-04,0,0,0,0,0.3
281,URM026,52.24448974,5.610606494,URM026,demand,1,0.0919269,0,0,0,0,0.3
282,URM027,52.23667398,5.71348259,URM027,demand,1,0.371835923,0,0,0,0,0.3
283,URM028,52.30152895,5.631989504,URM028,demand,1,0,0,0,0,0,0.3
284,URM029,52.27616564,5.729728465,URM029,demand,1,0.354201975,0,0,0,0,0.3
285,URM030,52.34074213,5.609284993,URM030,demand,1,0.001034636,0,0,0,0,0.3
286,URM031,52.33084955,5.655667623,URM031,demand,1,0.082471327,0,0,0,0,0.3
287,URM032,52.35070026,5.697426315,URM032,demand,1,0,0,0,0,0,0.3
288,UTW001,52.26459456,4.971545224,UTW001,demand,1,0.159392024,0,0,0,0,0.3
289,UTW002,52.22677268,4.989579269,UTW002,demand,1,0.062667988,0,0,0,0,0.3
290,UTW003,52.20782116,4.910643802,UTW003,demand,1,2.208239849,0,0,0,0,0.3
291,UTW004,52.09873782,4.932386325,UTW004,demand,1,0.571499027,0,0,0,0,0.3
292,UTW005,52.067489,4.962062236,UTW005,demand,1,0.056339204,0,0,0,0,0.3
293,UTW006,52.01929905,4.873244278,UTW006,demand,1,0.013382203,0,0,0,0,0.3
294,UTW007,51.97981327,4.973432583,UTW007,demand,1,0.060644917,0,0,0,0,0.3
295,UTW008,52.08575828,5.005571108,UTW008,demand,1,0,0,0,0,0,0.3
296,UTW009,52.08589966,5.051995607,UTW009,demand,1,0.008004909,0,0,0,0,0.3
